customer_id,customer_name,segment,monthly_revenue,contract_months_remaining,support_tickets_90d,product_usage_score,days_since_login,nps_score,payment_delays,account_owner,churned
CU001,Cedar Works,Mid-Market,5993.94,19,8,16,37,70,1,James Wilson,0
CU002,Spark Partners,SMB,1727.84,15,2,94,118,-1,1,James Wilson,0
CU003,Radiant Systems,SMB,1730.41,16,14,50,34,-33,0,Sarah Chen,1
CU004,Kinetic Systems,Mid-Market,7589.86,21,0,38,93,32,4,Rachel Kim,0
CU005,Keystone Technologies,Enterprise,16333.91,5,4,53,94,19,2,Rachel Kim,1
CU006,Trek Industries,Enterprise,52094.52,3,15,82,48,-64,4,Sarah Chen,1
CU007,Bright Solutions,Enterprise,27397.44,12,6,94,68,-29,2,Rachel Kim,1
CU008,Ridge LLC,SMB,791.69,20,5,49,61,26,3,Priya Patel,1
CU009,Edge Systems,SMB,485.63,21,11,31,59,5,4,Priya Patel,0
CU010,Cedar Corp,SMB,1640.88,4,0,77,107,-9,3,Rachel Kim,1
CU011,Nova Inc,Enterprise,44523.09,21,4,30,49,-70,1,James Wilson,0
CU012,Wave Inc,SMB,434.83,23,14,51,77,21,1,Rachel Kim,0
CU013,Sapphire Industries,SMB,1475.4,16,4,90,116,36,0,Priya Patel,0
CU014,Solar Global,Mid-Market,4651.71,7,5,60,119,-50,4,Emily Thompson,1
CU015,Rocket Global,Enterprise,42968.29,13,2,98,74,-72,3,David Park,0
CU016,Spire Technologies,Enterprise,20369.59,21,4,67,8,-61,2,Marcus Rodriguez,0
CU017,Modus Global,Mid-Market,9063.91,10,6,52,33,-60,1,Emily Thompson,1
CU018,Core Inc,Mid-Market,6173.99,7,4,65,75,-90,1,Rachel Kim,0
CU019,Torque Ventures,Mid-Market,11398.93,14,4,85,98,50,2,James Wilson,0
CU020,Latitude Group,Mid-Market,3806.45,5,4,30,34,-100,3,Sarah Chen,1
CU021,Meridian Works,SMB,1116.24,3,9,40,0,-55,3,Rachel Kim,0
CU022,Icon Inc,Enterprise,17446.73,23,9,5,39,0,4,James Wilson,1
CU023,Eagle Technologies,Mid-Market,11284.59,11,2,12,63,48,4,David Park,0
CU024,Vista Global,Mid-Market,10834.72,11,0,56,21,-11,5,Rachel Kim,1
CU025,Spire Technologies 2,Mid-Market,4950.45,18,4,83,59,9,5,Priya Patel,0
CU026,Quest Technologies,SMB,1785.97,15,13,51,63,63,0,Sarah Chen,0
CU027,Iris Inc,Enterprise,51226.67,12,8,60,92,81,1,James Wilson,0
CU028,Talon Systems,Mid-Market,7774.41,9,13,90,71,-44,4,James Wilson,0
CU029,Onyx LLC,Mid-Market,7531.68,10,0,18,10,-100,3,James Wilson,0
CU030,Kinetic Solutions,Enterprise,23608.91,12,2,94,104,-38,2,David Park,0
CU031,Latitude Global,SMB,595.52,17,12,32,100,81,3,Rachel Kim,1
CU032,Endeavor Partners,Enterprise,55066.36,6,12,91,13,-46,1,David Park,0
